일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2021/04/29","3174.07","-7.40","-0.23","3184.75","3200.41","3161.06","1222430.0","1.9126667E7","2.214470771E9"
"2021/04/28","3181.47","-33.95","-1.06","3217.21","3219.69","3176.55","1412621.0","1.8379829E7","2.219525997E9"
"2021/04/27","3215.42","-2.11","-0.07","3218.30","3223.05","3203.25","1534230.0","1.7177221E7","2.242791906E9"
"2021/04/26","3217.53","31.43","0.99","3191.34","3217.53","3191.34","1298330.0","1.5753768E7","2.244296748E9"
"2021/04/23","3186.10","8.58","0.27","3173.47","3188.70","3146.54","2253793.0","1.5653206E7","2.223584747E9"
"2021/04/22","3177.52","5.86","0.18","3174.52","3196.97","3174.52","1752692.0","1.4862862E7","2.217699634E9"
"2021/04/21","3171.66","-49.04","-1.52","3214.24","3214.24","3165.49","1767091.0","1.6916024E7","2.212715486E9"
"2021/04/20","3220.70","21.86","0.68","3198.31","3220.82","3195.96","1296160.0","1.4508206E7","2.246496867E9"
"2021/04/19","3198.84","0.22","0.01","3201.11","3214.45","3193.40","1060619.0","1.5378169E7","2.231246758E9"
"2021/04/16","3198.62","4.29","0.13","3194.08","3206.76","3185.67","985278.0","1.5542111E7","2.230863451E9"
"2021/04/15","3194.33","11.95","0.38","3180.73","3204.48","3178.99","1312992.0","1.7671287E7","2.227893249E9"
"2021/04/14","3182.38","13.30","0.42","3169.95","3188.32","3162.12","1776265.0","1.5552014E7","2.219837253E9"
"2021/04/13","3169.08","33.49","1.07","3138.21","3173.26","3136.99","1741348.0","1.6363773E7","2.209344454E9"
"2021/04/12","3135.59","3.71","0.12","3134.88","3147.27","3127.91","1048783.0","1.3288261E7","2.186336552E9"
"2021/04/09","3131.88","-11.38","-0.36","3146.51","3156.04","3125.24","1823162.0","1.5093695E7","2.183407708E9"
"2021/04/08","3143.26","5.85","0.19","3137.25","3145.81","3122.09","1357293.0","1.7080031E7","2.190897559E9"
"2021/04/07","3137.41","10.33","0.33","3129.07","3146.19","3125.33","1984774.0","1.4490177E7","2.187857006E9"
"2021/04/06","3127.08","6.25","0.20","3123.80","3139.29","3110.19","1279017.0","1.3676602E7","2.180839058E9"
"2021/04/05","3120.83","8.03","0.26","3121.23","3127.20","3101.86","1084792.0","1.301054E7","2.175988045E9"
"2021/04/02","3112.80","25.40","0.82","3104.72","3121.58","3101.60","792705.0","1.3442351E7","2.169819699E9"
"2021/04/01","3087.40","25.98","0.85","3073.77","3090.88","3069.68","922680.0","1.4035774E7","2.151569269E9"
"2021/03/31","3061.42","-8.58","-0.28","3073.39","3093.89","3061.40","1146989.0","1.4537438E7","2.133373184E9"
"2021/03/30","3070.00","33.96","1.12","3038.44","3074.57","3038.44","1023075.0","1.4149217E7","2.139668811E9"
"2021/03/29","3036.04","-4.97","-0.16","3047.71","3054.21","3025.39","1288846.0","1.6736098E7","2.116791654E9"
"2021/03/26","3041.01","32.68","1.09","3012.79","3041.86","3012.79","1036383.0","1.5837825E7","2.11996383E9"
"2021/03/25","3008.33","11.98","0.40","2995.67","3024.63","2987.83","940354.0","1.3434688E7","2.097224019E9"
"2021/03/24","2996.35","-8.39","-0.28","2996.32","3006.54","2971.04","978431.0","1.3400025E7","2.088782705E9"
"2021/03/23","3004.74","-30.72","-1.01","3038.25","3058.79","3003.05","1331210.0","1.6167128E7","2.090378385E9"
"2021/03/22","3035.46","-4.07","-0.13","3040.01","3048.11","3019.60","915739.0","1.3348889E7","2.111019309E9"
"2021/03/19","3039.53","-26.48","-0.86","3063.01","3063.01","3022.49","1068468.0","1.63376E7","2.113198643E9"
"2021/03/18","3066.01","18.51","0.61","3054.93","3090.19","3054.93","1232596.0","1.5133172E7","2.131746122E9"
"2021/03/17","3047.50","-19.67","-0.64","3067.76","3069.57","3027.20","814991.0","1.3933301E7","2.104611972E9"
"2021/03/16","3067.17","21.46","0.70","3049.23","3071.54","3049.23","1123922.0","1.2930136E7","2.118221348E9"
"2021/03/15","3045.71","-8.68","-0.28","3057.06","3065.17","3036.14","1161784.0","1.2580944E7","2.10349019E9"
"2021/03/12","3054.39","40.69","1.35","3030.73","3061.43","3030.73","1669085.0","1.3112979E7","2.108739012E9"
"2021/03/11","3013.70","55.58","1.88","2964.30","3028.37","2964.30","1349204.0","1.602412E7","2.08113156E9"
"2021/03/10","2958.12","-18.00","-0.60","2980.76","3013.95","2951.53","905647.0","1.3586638E7","2.043540146E9"
"2021/03/09","2976.12","-19.99","-0.67","2989.96","3000.49","2929.36","1534218.0","1.8419499E7","2.056078963E9"
"2021/03/08","2996.11","-30.15","-1.00","3031.99","3055.65","2992.64","1928302.0","1.5786853E7","2.069285179E9"
"2021/03/05","3026.26","-17.23","-0.57","3036.16","3036.98","2982.45","1187226.0","1.6767185E7","2.089548989E9"
"2021/03/04","3043.49","-39.50","-1.28","3076.88","3076.88","3022.54","1278952.0","1.7149583E7","2.100388462E9"
"2021/03/03","3082.99","39.12","1.29","3041.20","3083.04","3029.37","2236688.0","1.4714276E7","2.127504522E9"
"2021/03/02","3043.87","30.92","1.03","3021.68","3096.50","3020.74","1749871.0","1.8852145E7","2.1008922E9"
"2021/02/26","3012.95","-86.74","-2.80","3089.49","3089.49","2988.28","1361310.0","2.1504876E7","2.079822287E9"
"2021/02/25","3099.69","104.71","3.50","3026.47","3099.80","3026.47","1280086.0","1.7213951E7","2.139066413E9"
"2021/02/24","2994.98","-75.11","-2.45","3070.58","3092.05","2993.46","1560931.0","2.1519851E7","2.067821072E9"
"2021/02/23","3070.09","-9.66","-0.31","3069.26","3094.29","3035.46","2357759.0","1.7661158E7","2.118916098E9"
"2021/02/22","3079.75","-27.87","-0.90","3114.03","3142.48","3079.16","1831956.0","1.8224657E7","2.126152211E9"
"2021/02/19","3107.62","20.96","0.68","3089.96","3109.67","3040.28","3455505.0","1.972047E7","2.145756604E9"
"2021/02/18","3086.66","-47.07","-1.50","3131.74","3140.40","3086.66","1860567.0","1.814118E7","2.130240936E9"
"2021/02/17","3133.73","-29.52","-0.93","3162.95","3162.95","3115.48","1784127.0","1.6846121E7","2.162973198E9"
"2021/02/16","3163.25","16.25","0.52","3151.85","3180.94","3145.84","1944396.0","1.7171321E7","2.184114152E9"
"2021/02/15","3147.00","46.42","1.50","3108.70","3156.56","3108.70","1604653.0","1.6944151E7","2.172563782E9"
"2021/02/10","3100.58","15.91","0.52","3088.13","3111.88","3064.25","2152917.0","1.8333692E7","2.140181514E9"
"2021/02/09","3084.67","-6.57","-0.21","3102.25","3129.66","3084.67","2145388.0","1.8389342E7","2.129174908E9"
"2021/02/08","3091.24","-29.39","-0.94","3113.63","3128.54","3085.59","1277207.0","1.931222E7","2.132984549E9"
"2021/02/05","3120.63","33.08","1.07","3098.49","3124.62","3081.78","1193487.0","1.9789811E7","2.154425469E9"
"2021/02/04","3087.55","-42.13","-1.35","3135.02","3135.02","3068.46","1460946.0","2.0648473E7","2.130412929E9"
"2021/02/03","3129.68","32.87","1.06","3108.42","3142.26","3091.85","901789.0","2.2427782E7","2.158359679E9"
"2021/02/02","3096.81","40.28","1.32","3065.56","3138.95","3065.56","887314.0","1.9143871E7","2.134009403E9"
"2021/02/01","3056.53","80.32","2.70","2976.81","3056.87","2947.24","969262.0","2.0724667E7","2.104888955E9"
"2021/01/29","2976.21","-92.84","-3.03","3078.73","3100.22","2962.70","995071.0","2.4350307E7","2.051302353E9"
"2021/01/28","3069.05","-53.51","-1.71","3114.98","3114.98","3046.64","1310455.0","2.3007883E7","2.11566711E9"
"2021/01/27","3122.56","-17.75","-0.57","3143.46","3182.53","3118.89","924582.0","2.0147107E7","2.15286046E9"
"2021/01/26","3140.31","-68.68","-2.14","3203.96","3209.18","3132.67","873024.0","2.1874954E7","2.165657737E9"
"2021/01/25","3208.99","68.36","2.18","3144.01","3212.22","3142.80","1093653.0","2.1172003E7","2.212081519E9"
"2021/01/22","3140.63","-20.21","-0.64","3163.83","3185.26","3140.60","1111223.0","2.4305356E7","2.165993243E9"
"2021/01/21","3160.84","46.29","1.49","3123.27","3163.21","3123.27","1360065.0","2.5279965E7","2.179020943E9"
"2021/01/20","3114.55","21.89","0.71","3115.04","3145.01","3077.15","1192695.0","2.4628057E7","2.14652677E9"
"2021/01/19","3092.66","78.73","2.61","3013.05","3107.00","3011.32","1353312.0","2.4190453E7","2.13156425E9"
"2021/01/18","3013.93","-71.97","-2.33","3079.90","3079.90","3003.89","1472049.0","2.3186884E7","2.077227073E9"
"2021/01/15","3085.90","-64.03","-2.03","3153.84","3189.90","3085.90","1331079.0","2.3162292E7","2.127886649E9"
"2021/01/14","3149.93","1.64","0.05","3148.65","3159.03","3128.72","1233183.0","2.4122957E7","2.170678334E9"
"2021/01/13","3148.29","22.34","0.71","3128.26","3164.37","3109.63","1578042.0","2.472559E7","2.16937897E9"
"2021/01/12","3125.95","-22.50","-0.71","3145.87","3154.79","3047.56","1390618.0","3.1407397E7","2.15570254E9"
"2021/01/11","3148.45","-3.73","-0.12","3161.90","3266.23","3096.19","1712526.0","4.4433772E7","2.171629412E9"
"2021/01/08","3152.18","120.50","3.97","3040.11","3161.11","3040.11","1297903.0","4.090949E7","2.170537648E9"
"2021/01/07","3031.68","63.47","2.14","2980.75","3055.28","2980.75","1524655.0","2.7182807E7","2.086578562E9"
"2021/01/06","2968.21","-22.36","-0.75","2993.34","3027.16","2961.37","1793419.0","2.9909396E7","2.044102754E9"
"2021/01/05","2990.57","46.12","1.57","2943.67","2990.57","2921.84","1519912.0","2.654838E7","2.059743508E9"
"2021/01/04","2944.45","70.98","2.47","2874.50","2946.54","2869.11","1026510.0","2.5011394E7","2.028846032E9"
"2020/12/30","2873.47","52.96","1.88","2820.36","2878.21","2809.35","1074033.0","1.7928855E7","1.980543162E9"
"2020/12/29","2820.51","11.91","0.42","2810.55","2823.44","2792.06","1046839.0","1.9299049E7","1.944111086E9"
"2020/12/28","2808.60","1.74","0.06","2820.95","2834.59","2799.56","1006250.0","2.4197781E7","1.938374378E9"
"2020/12/24","2806.86","47.04","1.70","2762.60","2812.16","2762.60","1030890.0","1.9984695E7","1.936826862E9"
"2020/12/23","2759.82","26.14","0.96","2737.74","2769.08","2716.28","1121347.0","2.0281218E7","1.901461519E9"
"2020/12/22","2733.68","-44.97","-1.62","2772.03","2774.22","2733.64","1260762.0","1.9881378E7","1.881809988E9"
"2020/12/21","2778.65","6.47","0.23","2771.98","2780.24","2747.09","1139514.0","1.8972231E7","1.911737301E9"
"2020/12/18","2772.18","1.75","0.06","2770.95","2782.15","2762.80","1059144.0","1.9166225E7","1.907350242E9"
"2020/12/17","2770.43","-1.36","-0.05","2769.89","2772.71","2742.25","1015484.0","1.6275329E7","1.90641928E9"
"2020/12/16","2771.79","14.97","0.54","2763.64","2781.08","2761.50","1166638.0","1.3649677E7","1.907811219E9"
"2020/12/15","2756.82","-5.38","-0.19","2763.65","2769.37","2735.08","1093523.0","1.5537969E7","1.897677117E9"
"2020/12/14","2762.20","-7.86","-0.28","2769.43","2782.79","2755.29","1113631.0","1.7012253E7","1.901627365E9"
"2020/12/11","2770.06","23.60","0.86","2754.16","2781.04","2754.16","1215239.0","1.83291E7","1.906299605E9"
"2020/12/10","2746.46","-9.01","-0.33","2750.34","2765.46","2718.70","1227651.0","2.0630647E7","1.889374447E9"
"2020/12/09","2755.47","54.54","2.02","2703.30","2755.47","2703.30","1252305.0","1.7007606E7","1.894556865E9"
"2020/12/08","2700.93","-44.51","-1.62","2745.13","2747.45","2700.92","1415240.0","1.7157199E7","1.857599327E9"
"2020/12/07","2745.44","13.99","0.51","2738.11","2754.01","2711.42","1499265.0","1.7933012E7","1.888221382E9"
"2020/12/04","2731.45","35.23","1.31","2705.34","2742.77","2705.34","1778897.0","1.9875836E7","1.877444703E9"
"2020/12/03","2696.22","20.32","0.76","2686.38","2696.22","2672.85","817066.0","1.5605054E7","1.852628728E9"
"2020/12/02","2675.90","41.65","1.58","2645.88","2677.26","2644.53","1076204.0","1.7506705E7","1.838364843E9"
"2020/12/01","2634.25","42.91","1.66","2613.42","2638.87","2611.67","1151129.0","1.5947293E7","1.809494578E9"
"2020/11/30","2591.34","-42.11","-1.60","2648.05","2648.66","2591.34","1311831.0","2.1231832E7","1.7796354E9"
"2020/11/27","2633.45","7.54","0.29","2624.80","2635.00","2618.47","1196042.0","1.2641691E7","1.808171429E9"
"2020/11/26","2625.91","24.37","0.94","2605.73","2625.97","2592.43","1387435.0","1.2714565E7","1.803103425E9"
"2020/11/25","2601.54","-16.22","-0.62","2637.34","2642.26","2583.41","1410105.0","2.1795848E7","1.786075295E9"
"2020/11/24","2617.76","15.17","0.58","2616.28","2628.52","2605.03","1364506.0","1.6886574E7","1.797825355E9"
"2020/11/23","2602.59","49.09","1.92","2560.04","2605.58","2553.70","1649443.0","1.5763526E7","1.786992048E9"
"2020/11/20","2553.50","6.08","0.24","2544.06","2558.21","2539.79","1129501.0","1.2266186E7","1.75206508E9"
"2020/11/19","2547.42","1.78","0.07","2536.89","2548.95","2529.53","976483.0","1.2515007E7","1.747598155E9"
"2020/11/18","2545.64","6.49","0.26","2548.85","2553.95","2536.78","923504.0","1.3554048E7","1.746416815E9"
"2020/11/17","2539.15","-3.88","-0.15","2544.12","2556.09","2533.34","1267495.0","1.7795513E7","1.742186196E9"
"2020/11/16","2543.03","49.16","1.97","2507.46","2546.37","2507.46","1239135.0","1.90884E7","1.744282188E9"
"2020/11/13","2493.87","18.25","0.74","2470.12","2495.77","2460.96","1072383.0","1.7043855E7","1.710439788E9"
"2020/11/12","2475.62","-10.25","-0.41","2482.68","2488.79","2467.04","1278692.0","1.642001E7","1.698329618E9"
"2020/11/11","2485.87","33.04","1.35","2459.50","2488.04","2459.50","1272039.0","1.8307326E7","1.703946067E9"
"2020/11/10","2452.83","5.63","0.23","2453.95","2457.94","2435.59","1464168.0","1.7981336E7","1.681030953E9"
"2020/11/09","2447.20","30.70","1.27","2438.63","2459.15","2434.52","1354863.0","1.4847225E7","1.676944569E9"
"2020/11/06","2416.50","2.71","0.11","2421.79","2431.11","2404.97","825569.0","1.2579333E7","1.655495907E9"
"2020/11/05","2413.79","56.47","2.40","2373.41","2413.79","2370.85","702037.0","1.2578752E7","1.653392888E9"
"2020/11/04","2357.32","14.01","0.60","2361.32","2371.14","2339.95","986786.0","1.4835039E7","1.61483676E9"
"2020/11/03","2343.31","43.15","1.88","2315.81","2344.77","2315.30","887445.0","1.0874229E7","1.605475497E9"
"2020/11/02","2300.16","33.01","1.46","2276.61","2302.64","2267.95","678501.0","8514452.0","1.57579315E9"
"2020/10/30","2267.15","-59.52","-2.56","2319.56","2320.20","2266.93","795585.0","1.1782118E7","1.553004436E9"
"2020/10/29","2326.67","-18.59","-0.79","2312.34","2330.17","2299.91","509768.0","1.0357788E7","1.594058109E9"
"2020/10/28","2345.26","14.42","0.62","2324.18","2345.46","2316.47","705770.0","8941028.0","1.607471156E9"
"2020/10/27","2330.84","-13.07","-0.56","2328.66","2349.33","2321.23","666942.0","1.1269186E7","1.59838891E9"
"2020/10/26","2343.91","-16.90","-0.72","2366.50","2374.50","2342.58","822268.0","1.1654274E7","1.607185398E9"
"2020/10/23","2360.81","5.76","0.24","2364.84","2368.57","2344.49","890385.0","1.0724122E7","1.618108162E9"
"2020/10/22","2355.05","-15.81","-0.67","2355.61","2360.22","2339.73","815612.0","9774989.0","1.614311509E9"
"2020/10/21","2370.86","12.45","0.53","2363.03","2371.74","2356.32","812837.0","9864098.0","1.624489277E9"
"2020/10/20","2358.41","11.67","0.50","2333.56","2358.41","2322.06","874293.0","1.1833548E7","1.616230745E9"
"2020/10/19","2346.74","5.21","0.22","2352.92","2364.25","2344.77","931645.0","1.049073E7","1.607299316E9"
"2020/10/16","2341.53","-19.68","-0.83","2363.88","2370.73","2325.03","920205.0","1.114146E7","1.604041752E9"
"2020/10/15","2361.21","-19.27","-0.81","2375.91","2376.73","2348.74","1165501.0","1.3029475E7","1.617478082E9"
"2020/10/14","2380.48","-22.67","-0.94","2403.74","2405.56","2375.54","901177.0","1.1018495E7","1.621936204E9"
"2020/10/13","2403.15","-0.58","-0.02","2416.85","2418.89","2385.87","724920.0","1.0203178E7","1.63670577E9"
"2020/10/12","2403.73","11.77","0.49","2404.18","2409.42","2393.74","843574.0","1.0693283E7","1.636302269E9"
"2020/10/08","2391.96","5.02","0.21","2408.49","2409.01","2383.82","961726.0","1.2530442E7","1.6281335E9"
"2020/10/07","2386.94","21.04","0.89","2350.82","2387.45","2347.82","737994.0","8971101.0","1.624292282E9"
"2020/10/06","2365.90","7.90","0.34","2369.17","2378.28","2355.39","861755.0","1.1131424E7","1.609944298E9"
"2020/10/05","2358.00","30.11","1.29","2330.55","2364.73","2327.83","763618.0","1.0682774E7","1.604627372E9"
"2020/09/29","2327.89","19.81","0.86","2331.51","2339.83","2320.04","646218.0","9487147.0","1.584465079E9"
"2020/09/28","2308.08","29.29","1.29","2301.16","2314.81","2291.32","605977.0","8971172.0","1.571128314E9"
"2020/09/25","2278.79","6.09","0.27","2295.19","2296.36","2267.63","697962.0","1.0181604E7","1.551915294E9"
"2020/09/24","2272.70","-60.54","-2.59","2295.62","2309.74","2268.88","714881.0","1.2469005E7","1.547321103E9"
"2020/09/23","2333.24","0.65","0.03","2352.56","2354.46","2287.44","735042.0","1.3562935E7","1.587924103E9"
"2020/09/22","2332.59","-56.80","-2.38","2388.14","2388.49","2323.58","1051028.0","1.7896726E7","1.587733596E9"
"2020/09/21","2389.39","-23.01","-0.95","2412.44","2427.17","2379.38","1041993.0","1.4215076E7","1.625769303E9"
"2020/09/18","2412.40","6.23","0.26","2413.53","2417.81","2396.33","756517.0","1.3965197E7","1.6408981E9"
"2020/09/17","2406.17","-29.75","-1.22","2430.77","2437.02","2398.69","853740.0","1.4235036E7","1.636916706E9"
"2020/09/16","2435.92","-7.66","-0.31","2442.72","2450.53","2429.94","772938.0","1.1855357E7","1.657263235E9"
"2020/09/15","2443.58","15.67","0.65","2434.59","2444.57","2423.79","849969.0","1.1840594E7","1.662644697E9"
"2020/09/14","2427.91","31.22","1.30","2418.33","2429.07","2410.79","963083.0","1.2021767E7","1.652166907E9"
"2020/09/11","2396.69","0.21","0.01","2389.76","2397.56","2374.00","882880.0","1.2068892E7","1.630532301E9"
"2020/09/10","2396.48","20.67","0.87","2404.83","2406.68","2388.56","1064574.0","1.5782939E7","1.630210829E9"
"2020/09/09","2375.81","-26.10","-1.09","2372.53","2388.85","2369.12","946247.0","1.5502531E7","1.615470589E9"
"2020/09/08","2401.91","17.69","0.74","2402.66","2407.56","2391.43","979357.0","1.7297864E7","1.63322314E9"
"2020/09/07","2384.22","15.97","0.67","2369.85","2387.49","2362.42","1197385.0","1.7183376E7","1.620531148E9"
"2020/09/04","2368.25","-27.65","-1.15","2332.68","2371.02","2332.68","1351039.0","1.9692978E7","1.60909799E9"
"2020/09/03","2395.90","31.53","1.33","2383.26","2401.78","2382.23","981546.0","1.7420977E7","1.627702404E9"
"2020/09/02","2364.37","14.82","0.63","2363.43","2369.57","2341.29","1429273.0","1.5793103E7","1.605940739E9"
"2020/09/01","2349.55","23.38","1.01","2340.19","2355.90","2331.23","1085245.0","1.6664315E7","1.596297723E9"
"2020/08/31","2326.17","-27.63","-1.17","2377.09","2381.50","2326.06","1647818.0","1.9494384E7","1.581099787E9"
"2020/08/28","2353.80","9.35","0.40","2362.22","2379.26","2345.28","1297312.0","1.5539938E7","1.599550089E9"
"2020/08/27","2344.45","-24.87","-1.05","2371.95","2373.36","2344.38","913917.0","1.5184934E7","1.593246017E9"
"2020/08/26","2369.32","2.59","0.11","2367.74","2374.68","2336.98","956478.0","1.4435847E7","1.610120509E9"
"2020/08/25","2366.73","36.90","1.58","2352.15","2369.78","2340.97","771585.0","1.356798E7","1.608120253E9"
"2020/08/24","2329.83","25.24","1.10","2309.38","2332.33","2283.48","649277.0","1.1654193E7","1.583436465E9"
"2020/08/21","2304.59","30.37","1.34","2306.16","2329.34","2280.97","865736.0","1.4111672E7","1.566780399E9"
"2020/08/20","2274.22","-86.32","-3.66","2339.91","2357.08","2270.85","903744.0","1.7101785E7","1.546235567E9"
"2020/08/19","2360.54","12.30","0.52","2370.87","2380.10","2353.17","637965.0","1.2367503E7","1.604983685E9"
"2020/08/18","2348.24","-59.25","-2.46","2405.84","2419.65","2336.78","909750.0","1.7572479E7","1.596724897E9"
